event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,placses,keywords,wos_keys,bib_keys,extracted_from,comment
12164,2018,,,66,,,,,,,,WOS:000433576500001,,wos,
12165,2018,,,66,,,,,,,,WOS:000422912100015,,wos,
12166,2018,,,66,,,,,,,,WOS:000422892800006,,wos,
12167,2018,,,66,,,,,,,,WOS:000422894200003,,wos,
12168,2018,,,66,,,,,,,,WOS:000422942500009,,wos,
12169,2018,,,66,,,,,,,,WOS:000422947200008,,wos,
12170,2018,,,66,,,,,,,,WOS:000422947900006,,wos,
12171,2018,,,66,,,,,,,,WOS:000422983100010,,wos,
12172,2018,,,66,,,,,,,,WOS:000449152600010,,wos,
12173,2016,,,66,,,,,,,,WOS:000387203500018,,wos,
12174,2018,,,66,,,,,,,,WOS:000422983100013,,wos,
12175,2018,,,66,,,,,,,,WOS:000422987500011,,wos,
12176,2017,,,66,,,,,,,,WOS:000410738600012,,wos,
12177,2018,,,66,,,,,,,,WOS:000423013000006,,wos,
12178,2018,,,66,,,,,,,,WOS:000423009900015,,wos,
12179,2016,,,66,,,,,,,,WOS:000384784600005,,wos,
12180,2019,,,66,,,,,,,,WOS:000495604200001,,wos,
12181,2017,,,66,,,,,,,,WOS:000414496800001,,wos,
12182,2017,,,66,,,,,,,,WOS:000423046400002,,wos,
12183,2020,,,66,,,,,,,,WOS:000500122200001,,wos,
12184,2018,,,66,,,,,,,,WOS:000427728400017,,wos,
12185,2018,,,66,,,,,,,,WOS:000424720700006,,wos,
12186,2017,,,66,,,,,,,,WOS:000412147400011,,wos,
12187,2014,,,66,,,,,,,,WOS:000334987300007,,wos,
12188,2018,,,66,,,,,,,,WOS:000423144000021,,wos,
12189,2018,,,66,,,,,,,,WOS:000423154000048,,wos,
12190,2018,,,66,,,,,,,,WOS:000423154400003,,wos,
12191,2020,,,66,,,,,,,,WOS:000507767900002,,wos,
12192,2018,,,66,,,,,,,,WOS:000423154400004,,wos,
12193,2018,,,66,,,,,,,,WOS:000430694900042,,wos,
12194,2018,,,66,,,,,,,,WOS:000449988100214,,wos,
12195,2019,,,66,,,,,,,,WOS:000473129900001,,wos,
12196,2017,,,66,,,,,,,,WOS:000423215203017,,wos,
12197,2017,,,66,,,,,,,,WOS:000411686400006,,wos,
12198,2020,,,66,,,,,,,,WOS:000525735300020,,wos,
12199,2019,,,66,,,,,,,,WOS:000466314500005,,wos,
12200,2018,,,66,,,,,,,,WOS:000429921000005,,wos,
12201,2017,,,66,,,,,,,,WOS:000423215203126,,wos,
12202,2017,,,66,,,,,,,,WOS:000423215204196,,wos,
12203,2018,,,66,,,,,,,,WOS:000423224300104,,wos,
12204,2019,,,66,,,,,,,,WOS:000484544000244,,wos,
12205,2017,,,66,,,,,,,,WOS:000423236200664,,wos,
12206,2017,,,66,,,,,,,,WOS:000423236200993,,wos,
12207,2017,,,66,,,,,,,,WOS:000423240800033,,wos,
12208,2018,,,66,,,,,,,,WOS:000441641500012,,wos,
12209,2018,,,66,,,,,,,,WOS:000419915400014,,wos,
12210,2018,,,66,,,,,,,,WOS:000423252800011,,wos,
12211,2017,,,66,,,,,,,,WOS:000423240800101,,wos,
12212,2019,,,66,,,,,,,,WOS:000499226100003,,wos,
12213,2018,,,66,,,,,,,,WOS:000423252800012,,wos,
12214,2018,,,66,,,,,,,,WOS:000425132100007,,wos,
12215,2018,,,66,,,,,,,,WOS:000423252800027,,wos,
12216,2015,,,66,,,,,,,,WOS:000349334100014,,wos,
12217,2018,,,66,,,,,,,,WOS:000423259000021,,wos,
12218,2018,,,66,,,,,,,,WOS:000423283200013,,wos,
12219,2018,,,66,,,,,,,,WOS:000423302300006,,wos,
12220,2016,,,66,,,,,,,,WOS:000387446700028,,wos,
12221,2018,,,66,,,,,,,,WOS:000423335400005,,wos,
12222,2018,,,66,,,,,,,,WOS:000423335400002,,wos,
12223,2018,,,66,,,,,,,,WOS:000423335400007,,wos,
12224,2018,,,66,,,,,,,,WOS:000431183400029,,wos,
12225,2018,,,66,,,,,,,,WOS:000423363300013,,wos,
12226,2018,,,66,,,,,,,,WOS:000423363300016,,wos,
12227,2018,,,66,,,,,,,,WOS:000423363300027,,wos,
12228,2018,,,66,,,,,,,,WOS:000423379200002,,wos,
12229,2018,,,66,,,,,,,,WOS:000423396200044,,wos,
12230,2018,,,66,,,,,,,,WOS:000423403400001,,wos,
12231,2015,,,66,,,,,,,,WOS:000362891101215,,wos,
12232,2018,,,66,,,,,,,,WOS:000423422700013,,wos,
12233,2019,,,66,,,,,,,,WOS:000500698200011,,wos,
12234,2018,,,66,,,,,,,,WOS:000435184400032,,wos,
12235,2018,,,66,,,,,,,,WOS:000448320700013,,wos,
12236,2018,,,66,,,,,,,,WOS:000426099500013,,wos,
12237,2016,,,66,,,,,,,,WOS:000368099500012,,wos,
12238,2015,,,66,,,,,,,,WOS:000362849100241,,wos,
12239,2018,,,66,,,,,,,,WOS:000423441700016,,wos,
12240,2018,,,66,,,,,,,,WOS:000423448400014,,wos,
12241,2017,,,66,,,,,,,,WOS:000417109000008,,wos,
12242,2018,,,66,,,,,,,,WOS:000443755200044,,wos,
12243,2019,,,66,,,,,,,,WOS:000477811200017,,wos,
12244,2018,,,66,,,,,,,,WOS:000423449900002,,wos,
12245,2018,,,66,,,,,,,,WOS:000436565000001,,wos,
12246,2017,,,66,,,,,,,,WOS:000423460600002,,wos,
12247,2020,,,66,,,,,,,,WOS:000508155000001,,wos,
12248,2018,,,66,,,,,,,,WOS:000423494500007,,wos,
12249,2018,,,66,,,,,,,,WOS:000423514700002,,wos,
12250,2018,,,66,,,,,,,,WOS:000423524200004,,wos,
12251,2018,,,66,,,,,,,,WOS:000453707700381,,wos,
12252,2017,,,66,,,,,,,,WOS:000425874600001,,wos,
12253,2018,,,66,,,,,,,,WOS:000423542700004,,wos,
12254,2018,,,66,,,,,,,,WOS:000423543000001,,wos,
12255,2017,,,66,,,,,,,,WOS:000414888500006,,wos,
12256,2018,,,66,,,,,,,,WOS:000441884100010,,wos,
12257,2018,,,66,,,,,,,,WOS:000423549600003,,wos,
12258,2018,,,66,,,,,,,,WOS:000423555400001,,wos,
12259,2017,,,66,,,,,,,,WOS:000423557400005,,wos,
12260,2018,,,66,,,,,,,,WOS:000423563400016,,wos,
12261,2018,,,66,,,,,,,,WOS:000423567000002,,wos,
12262,2009,,,66,,,,,,,,WOS:000262570600009,,wos,
12263,2018,,,66,,,,,,,,WOS:000423571900003,,wos,
12264,2018,,,66,,,,,,,,WOS:000423579400001,,wos,
12265,2018,,,66,,,,,,,,WOS:000435342201138,,wos,
12266,2014,,,66,,,,,,,,WOS:000345180300026,,wos,
12267,2018,,,66,,,,,,,,WOS:000423644300030,,wos,
12268,2019,,,66,,,,,,,,WOS:000460850900025,,wos,
12269,2019,,,66,,,,,,,,WOS:000477795000020,,wos,
12270,2018,,,66,,,,,,,,WOS:000423649300019,,wos,
12271,2014,,,66,,,,,,,,WOS:000342921200065,,wos,
12272,2018,,,66,,,,,,,,WOS:000423672800013,,wos,
12273,2018,,,66,,,,,,,,WOS:000426012800012,,wos,
12274,2018,,,66,,,,,,,,WOS:000423672800024,,wos,
12275,2018,,,66,,,,,,,,WOS:000437352900005,,wos,
12276,2015,,,66,,,,,,,,WOS:000350210400168,,wos,
12277,2018,,,66,,,,,,,,WOS:000423718600047,,wos,
12278,2018,,,66,,,,,,,,WOS:000437934800017,,wos,
12279,2018,,,66,,,,,,,,WOS:000423730100015,,wos,
12280,2018,,,66,,,,,,,,WOS:000423728800061,,wos,
12281,2018,,,66,,,,,,,,WOS:000423730100005,,wos,
12282,2018,,,66,,,,,,,,WOS:000423730100016,,wos,
12283,2018,,,66,,,,,,,,WOS:000423770000022,,wos,
12284,2018,,,66,,,,,,,,WOS:000423774100148,,wos,
12285,2017,,,66,,,,,,,,WOS:000406646600007,,wos,
12286,2015,,,66,,,,,,,,WOS:000363822200003,,wos,
12287,2017,,,66,,,,,,,,WOS:000410864800007,,wos,
12288,2018,,,66,,,,,,,,WOS:000423787500056,,wos,
12289,2019,,,66,,,,,,,,WOS:000467887100004,,wos,
12290,2018,,,66,,,,,,,,WOS:000423787500091,,wos,
12291,2018,,,66,,,,,,,,WOS:000423795800003,,wos,
12292,2017,,,66,,,,,,,,WOS:000402224300006,,wos,
12293,2019,,,66,,,,,,,,WOS:000475895000003,,wos,
12294,2018,,,66,,,,,,,,WOS:000423811200042,,wos,
12295,2016,,,66,,,,,,,,WOS:000367255300013,,wos,
12296,2017,,,66,,,,,,,,WOS:000414608400079,,wos,
12297,2018,,,66,,,,,,,,WOS:000426048100009,,wos,
12298,2018,,,66,,,,,,,,WOS:000423840400009,,wos,
12299,2018,,,66,,,,,,,,WOS:000423840400015,,wos,
12300,2017,,,66,,,,,,,,WOS:000417151300011,,wos,
12301,2018,,,66,,,,,,,,WOS:000423841100007,,wos,
12302,2017,,,66,,,,,,,,WOS:000423890900017,,wos,
12303,2018,,,66,,,,,,,,WOS:000423851000007,,wos,
12304,2018,,,66,,,,,,,,WOS:000423893200011,,wos,
12305,2018,,,66,,,,,,,,WOS:000423893100003,,wos,
12306,2006,,,66,,,,,,,,WOS:000241707300016,,wos,
12307,2017,,,66,,,,,,,,WOS:000396094200058,,wos,
12308,2018,,,66,,,,,,,,WOS:000423897600153,,wos,
12309,2017,,,66,,,,,,,,WOS:000392575700012,,wos,
12310,2018,,,66,,,,,,,,WOS:000423967700004,,wos,
12311,2018,,,66,,,,,,,,WOS:000423975200001,,wos,
12312,2018,,,66,,,,,,,,WOS:000423975300001,,wos,
12313,2018,,,66,,,,,,,,WOS:000440552100016,,wos,
12314,2020,,,66,,,,,,,,WOS:000518123900001,,wos,
12315,2018,,,66,,,,,,,,WOS:000423976100009,,wos,
12316,2016,,,66,,,,,,,,WOS:000389438100027,,wos,
12317,2018,,,66,,,,,,,,WOS:000424003200063,,wos,
12318,2017,,,66,,,,,,,,WOS:000424035800004,,wos,
12319,2019,,,66,,,,,,,,WOS:000464517500019,,wos,
12320,2018,,,66,,,,,,,,WOS:000424042700009,,wos,
12321,2013,,,66,,,,,,,,WOS:000323378000040,,wos,
12322,2019,,,66,,,,,,,,WOS:000481404300055,,wos,
12323,2018,,,66,,,,,,,,WOS:000424060400029,,wos,
12324,2017,,,66,,,,,,,,WOS:000394482800017,,wos,
12325,2018,,,66,,,,,,,,WOS:000433908900027,,wos,
12326,2018,,,66,,,,,,,,WOS:000424075300014,,wos,
12327,2018,,,66,,,,,,,,WOS:000424075300017,,wos,
12328,2014,,,66,,,,,,,,WOS:000338769400063,,wos,
12329,2017,,,66,,,,,,,,WOS:000424077900010,,wos,
12330,2018,,,66,,,,,,,,WOS:000452404200005,,wos,
12331,2017,,,66,,,,,,,,WOS:000424090600002,,wos,
12332,2020,,,66,,,,,,,,WOS:000525591200001,,wos,
12333,2016,,,66,,,,,,,,WOS:000386911600015,,wos,
12334,2017,,,66,,,,,,,,WOS:000415692800026,,wos,
12335,2019,,,66,,,,,,,,WOS:000488530100005,,wos,
12336,2018,,,66,,,,,,,,WOS:000424136000011,,wos,
12337,2018,,,66,,,,,,,,WOS:000439672900012,,wos,
12338,2018,,,66,,,,,,,,WOS:000428508800055,,wos,
12339,2017,,,66,,,,,,,,WOS:000408776400009,,wos,
12340,2018,,,66,,,,,,,,WOS:000424185900015,,wos,
12341,2019,,,66,,,,,,,,WOS:000488776902163,,wos,
12342,2017,,,66,,,,,,,,WOS:000424204700001,,wos,
12343,2017,,,66,,,,,,,,WOS:000417042300001,,wos,
12344,2015,,,66,,,,,,,,WOS:000349966200002,,wos,
12345,2017,,,66,,,,,,,,WOS:000410945700033,,wos,
12346,2018,,,66,,,,,,,,WOS:000424291200016,,wos,
12347,2018,,,66,,,,,,,,WOS:000424291200023,,wos,
12348,2018,,,66,,,,,,,,WOS:000424292100004,,wos,
12349,2018,,,66,,,,,,,,WOS:000448142200004,,wos,
12350,2017,,,66,,,,,,,,WOS:000409533800003,,wos,
12351,2019,,,66,,,,,,,,WOS:000471284200033,,wos,
12352,2019,,,66,,,,,,,,WOS:000486417200008,,wos,
12353,2018,,,66,,,,,,,,WOS:000424339700022,,wos,
12354,2018,,,66,,,,,,,,WOS:000447511100034,,wos,
12355,2018,,,66,,,,,,,,WOS:000424400900002,,wos,
12356,2018,,,66,,,,,,,,WOS:000424402500012,,wos,
12357,2018,,,66,,,,,,,,WOS:000430191900018,,wos,
12358,2018,,,66,,,,,,,,WOS:000424407200063,,wos,
12359,2015,,,66,,,,,,,,WOS:000360994700001,,wos,
12360,2019,,,66,,,,,,,,WOS:000488653500087,,wos,
12361,2018,,,66,,,,,,,,WOS:000424414900039,,wos,
12362,2018,,,66,,,,,,,,WOS:000427305800009,,wos,
12363,2019,,,66,,,,,,,,WOS:000466573400006,,wos,
12364,2019,,,66,,,,,,,,WOS:000506643500097,,wos,
12365,2014,,,66,,,,,,,,WOS:000349837900005,,wos,
12366,2018,,,66,,,,,,,,WOS:000424449100007,,wos,
12367,2019,,,66,,,,,,,,WOS:000458259600034,,wos,
12368,2017,,,66,,,,,,,,WOS:000414399800009,,wos,
12369,2017,,,66,,,,,,,,WOS:000424480900006,,wos,
12370,2017,,,66,,,,,,,,WOS:000413198700086,,wos,
12371,2018,,,66,,,,,,,,WOS:000424482800007,,wos,
12372,2011,,,66,,,,,,,,WOS:000296786900054,,wos,
12373,2018,,,66,,,,,,,,WOS:000424515900006,,wos,
12374,2018,,,66,,,,,,,,WOS:000424521100010,,wos,
12375,2017,,,66,,,,,,,,WOS:000393379700001,,wos,
12376,2018,,,66,,,,,,,,WOS:000424633100001,,wos,
12377,2018,,,66,,,,,,,,WOS:000424537000008,,wos,
12378,2018,,,66,,,,,,,,WOS:000424630400012,,wos,
12379,2015,,,66,,,,,,,,WOS:000365517200010,,wos,
12380,2019,,,66,,,,,,,,WOS:000479493600001,,wos,
12381,2019,,,66,,,,,,,,WOS:000457633200006,,wos,
12382,2018,,,66,,,,,,,,WOS:000424644700043,,wos,
12383,2019,,,66,,,,,,,,WOS:000469890800021,,wos,
12384,2018,,,66,,,,,,,,WOS:000424646400006,,wos,
12385,2018,,,66,,,,,,,,WOS:000424670900006,,wos,
12386,2018,,,66,,,,,,,,WOS:000424659500021,,wos,
12387,2018,,,66,,,,,,,,WOS:000425937100012,,wos,
12388,2018,,,66,,,,,,,,WOS:000424700800042,,wos,
12389,2018,,,66,,,,,,,,WOS:000424708400001,,wos,
12390,2018,,,66,,,,,,,,WOS:000424741500037,,wos,
12391,2018,,,66,,,,,,,,WOS:000423097800063,,wos,
12392,2018,,,66,,,,,,,,WOS:000424723500021,,wos,
12393,2018,,,66,,,,,,,,WOS:000424729300017,,wos,
12394,2017,,,66,,,,,,,,WOS:000411524700032,,wos,
12395,2018,,,66,,,,,,,,WOS:000424702600060,,wos,
