UT	Date	Cit	Specific_Cases
000261799400054	2009	27	
000261799400054	2020	27	
000258436700038	2019	156	
000258436700038	2017	132	
000258436700038	2018	131	
000258436700038	2016	121	
000258436700038	2015	109	
000258436700038	2013	105	
000258436700038	2014	102	
000258436700038	2012	75	
000258436700038	2011	67	
000258436700038	2010	42	
000258436700038	2020	36	
000258436700038	2009	35	
000258436700038	2008	4	
000245106900039	2019	337	barrangou:2007
000245106900039	2018	309	barrangou:2007
000245106900039	2017	308	barrangou:2007
000245106900039	2016	259	barrangou:2007
000245106900039	2015	226	barrangou:2007
000245106900039	2014	182	barrangou:2007
000245106900039	2013	156	barrangou:2007
000245106900039	2012	112	barrangou:2007
000245106900039	2011	91	barrangou:2007
000245106900039	2020	81	barrangou:2007
000245106900039	2010	77	barrangou:2007
000245106900039	2009	71	barrangou:2007
000245106900039	2008	53	barrangou:2007
000245106900039	2007	15	barrangou:2007
000244032500001	2013	58	
000244032500001	2012	52	
000244032500001	2015	52	
000244032500001	2011	50	
000244032500001	2016	50	
000244032500001	2014	47	
000244032500001	2017	45	
000244032500001	2019	42	
000244032500001	2009	39	
000244032500001	2018	38	
000244032500001	2010	35	
000244032500001	2008	27	
000244032500001	2007	21	
000244032500001	2020	15	
000244032500001	2006	9	
000238035500007	2012	23	
000238035500007	2013	20	
000238035500007	2008	17	
000238035500007	2011	16	
000238035500007	2019	16	
000238035500007	2009	15	
000238035500007	2010	15	
000238035500007	2014	15	
000238035500007	2016	12	
000238035500007	2018	12	
000238035500007	2015	10	
000238035500007	2017	10	
000238035500007	2007	9	
000238035500007	2006	2	
000238035500007	2020	2	
000234713300005	2013	60	
000234713300005	2012	56	
000234713300005	2011	53	
000234713300005	2014	52	
000234713300005	2015	45	
000234713300005	2016	41	
000234713300005	2019	41	
000234713300005	2017	40	
000234713300005	2010	33	
000234713300005	2009	28	
000234713300005	2018	26	
000234713300005	2008	24	
000234713300005	2007	12	
000234713300005	2006	6	
000234713300005	2020	6	
000231459000006	2019	88	
000231459000006	2018	85	
000231459000006	2016	80	
000231459000006	2017	76	
000231459000006	2015	71	
000231459000006	2013	48	
000231459000006	2014	42	
000231459000006	2012	41	
000231459000006	2011	39	
000231459000006	2010	25	
000231459000006	2020	20	
000231459000006	2008	16	
000231459000006	2009	14	
000231459000006	2007	8	
000231459000006	2006	5	
000227707100005	2016	66	
000227707100005	2017	63	
000227707100005	2015	62	
000227707100005	2018	57	
000227707100005	2019	56	
000227707100005	2013	41	
000227707100005	2011	34	
